model,crime_cat,n_cells,spearman_global,kendall_global,recall5,recall10,ndcg,pai10,pei10,nmae,smape,log_rmse,intra_spearman,intra_recall10,intra_ndcg,intra_pai,intra_n_districts,macro_intra_spearman,min_intra_spearman,macro_intra_recall10,min_intra_recall10,macro_intra_pai,min_intra_pai,macro_recall10,min_recall10,macro_ndcg,min_ndcg
M1_demografia,robo_hurto_callejero,4312.0,0.8819817001908971,0.7239188009900256,0.2464949687078169,0.447324825131918,0.8315119322460448,4.47324825131918,0.6917803344798955,0.7761751167727562,1.4959625780129306,0.9145088665239428,0.5011623718324789,0.29908857766059543,0.8105545548509993,2.9908857766059547,41.0,,,,,,,,,,
M1_demografia,extorsion,3573.0,0.759656359547412,0.6655019319490105,0.3117987079224753,0.5501530091805509,0.83997760892338,5.501530091805509,0.7550163322445171,0.838963429214854,1.822371478896504,0.486449795750603,0.2907610758322831,0.25086316006360765,0.7115212523030039,2.5086316006360767,40.0,,,,,,,,,,
M1_demografia,estafa,3762.0,0.7783769664762631,0.6531868101168851,0.34742057709122703,0.55727193238123,0.8802013144059658,5.572719323812299,0.7769199512393336,0.6712705675694027,1.663826191916128,0.4394852511963091,0.4341193168459937,0.31072168817074175,0.7916636437556737,3.1072168817074184,39.0,,,,,,,,,,
M1_demografia,violencia_familiar_sexual,4212.0,0.8718291855997157,0.7121355512783833,0.27886323268206037,0.46467655990374146,0.8630394101007761,4.646765599037415,0.7188441765644389,0.6787773796319311,1.4552985462236738,0.7721365320636502,0.46792008289626924,0.2893522676300101,0.8203972750993394,2.893522676300101,41.0,,,,,,,,,,
M1_demografia,secuestro,3353.0,0.39626574823145716,0.3679040373276883,0.3674698795180723,0.6536144578313253,0.6558669923657271,6.536144578313253,0.6536144578313252,1.190739302996438,1.9669868079875814,0.20616129746835837,0.20497807598724974,0.22549095725246618,0.5309514928752586,2.254909572524662,34.0,,,,,,,,,,
M1_demografia,__macro__,,,,,,,,,,,,,,,,,0.37978818467885495,0.20497807598724974,0.27510333015548427,0.22549095725246618,2.7510333015548425,2.254909572524662,0.5346081568857531,0.447324825131918,0.8141194516083787,0.6558669923657271
M1b_manzana,robo_hurto_callejero,4312.0,0.8971473083469734,0.7581720280809092,0.28475119646582403,0.47372376978770403,0.8486731992733985,4.73723769787704,0.732605859328668,0.7540445448374558,1.497543916922432,0.8656968379958002,0.5746886941119848,0.35531724557062705,0.8530345028820775,3.5531724557062705,41.0,,,,,,,,,,
M1b_manzana,extorsion,3573.0,0.7587925231429582,0.66382352931594,0.32063923835430125,0.5753145188711323,0.8515350998470884,5.753145188711322,0.7895473635090994,0.8375304440011261,1.8258572990923085,0.4817489182322597,0.3959711599242784,0.31074879103727093,0.7811408787651484,3.10748791037271,40.0,,,,,,,,,,
M1b_manzana,estafa,3762.0,0.8191246385807927,0.7140285151066654,0.3701544739143107,0.5963276012824249,0.8720099990701592,5.963276012824249,0.831369362047948,0.6507372932873995,1.6556556983985953,0.4211352487741134,0.4981988904458561,0.32564185420588626,0.828635586843985,3.2564185420588623,39.0,,,,,,,,,,
M1b_manzana,violencia_familiar_sexual,4212.0,0.9002175727683529,0.7651789820926042,0.309482610439466,0.5150403942015699,0.898860009415492,5.150403942015698,0.7967558943449742,0.6108018162726302,1.4136811079051594,0.6775834256659181,0.5770116298414147,0.3646716981811203,0.8930394547073485,3.6467169818112026,41.0,,,,,,,,,,
M1b_manzana,secuestro,3353.0,0.3964828871273732,0.3637007936605563,0.39156626506024095,0.7349397590361446,0.6685596773077245,7.349397590361446,0.7349397590361446,1.1845254558439606,1.9675495708616513,0.20609657236607926,0.22773412793913764,0.3539490702534181,0.5553861606549273,3.5394907025341804,34.0,,,,,,,,,,
M1b_manzana,__macro__,,,,,,,,,,,,,,,,,0.4547209004525343,0.22773412793913764,0.3420657318496645,0.31074879103727093,3.4206573184966453,3.10748791037271,0.5790692086357951,0.47372376978770403,0.8279275969827726,0.6685596773077245
M2_osm,robo_hurto_callejero,4312.0,0.9083646932811071,0.7756795378288912,0.3083123696159038,0.4869079028101608,0.8703612877839356,4.869079028101607,0.7529948997746412,0.7414766702971497,1.4877010064462437,0.8461563351210543,0.5932671122831528,0.3716734400384263,0.8844581730129055,3.7167344003842624,41.0,,,,,,,,,,
M2_osm,extorsion,3573.0,0.7691890087641348,0.67646597022741,0.3253995239714383,0.5889153349200952,0.8680671598710774,5.889153349200951,0.808212785814279,0.8337950758583987,1.82631324599878,0.48046063829742236,0.43558165185532366,0.3146834127246619,0.7787677342829783,3.1468341272466183,40.0,,,,,,,,,,
M2_osm,estafa,3762.0,0.8109288641525765,0.7038730487564302,0.38589332556106093,0.5955989507432236,0.921067848935015,5.9559895074322355,0.8303535148313694,0.6399325545641656,1.6556882213327553,0.4139366665421319,0.49275186001062654,0.31104915597257704,0.8315037516568381,3.11049155972577,39.0,,,,,,,,,,
M2_osm,violencia_familiar_sexual,4212.0,0.891330916137357,0.7474314091449525,0.3209648770984931,0.5212284421016444,0.9045584160219897,5.212284421016444,0.8063286651302961,0.5912314479677849,1.402594805621684,0.6628127267399482,0.576250424441482,0.36148514404569726,0.891580791891435,3.614851440456973,41.0,,,,,,,,,,
