rate,seed,medible,real,persist,feat_gana
0.834,0,0.4635904385320077,0.4635904385320077,0.400548212863914,True
0.834,1,0.4635904385320077,0.4635904385320077,0.400548212863914,True
0.834,2,0.4635904385320077,0.4635904385320077,0.400548212863914,True
0.834,3,0.4635904385320077,0.4635904385320077,0.400548212863914,True
0.834,4,0.4635904385320077,0.4635904385320077,0.400548212863914,True
0.834,5,0.4635904385320077,0.4635904385320077,0.400548212863914,True
0.834,6,0.4635904385320077,0.4635904385320077,0.400548212863914,True
0.834,7,0.4635904385320077,0.4635904385320077,0.400548212863914,True
0.834,8,0.4635904385320077,0.4635904385320077,0.400548212863914,True
0.834,9,0.4635904385320077,0.4635904385320077,0.400548212863914,True
0.7,0,0.4467581322520197,0.4579318273395182,0.3781070410963009,True
0.7,1,0.45202265094943195,0.4604049861717664,0.39022483540853,True
0.7,2,0.4499660726978437,0.45970056200522896,0.3744321687518614,True
0.7,3,0.45482043285289625,0.46591435291648775,0.39293324913410127,True
0.7,4,0.4417114229417554,0.4520765143449851,0.38580343093343566,True
0.7,5,0.4581642295183907,0.46846319503407174,0.3923519771255687,True
0.7,6,0.4444396408939043,0.44931148576332036,0.38538140480505956,True
0.7,7,0.44266929200680066,0.4548763030608569,0.3737849112956949,True
0.7,8,0.4652403802421022,0.472054678805448,0.38897689926115664,True
0.7,9,0.4617966244335398,0.4648705166651945,0.3934089765172414,True
0.5,0,0.42956058098779604,0.46087179348200724,0.3559488809029648,True
0.5,1,0.42452177287208687,0.45489907603086177,0.3651504156980728,True
0.5,2,0.42529471697094967,0.4571075494855769,0.3525213754714773,True
0.5,3,0.4218286978207443,0.4555474575105863,0.3660283791713275,True
0.5,4,0.4399326363228756,0.4619063724158554,0.35475806410998983,True
0.5,5,0.4354368487140265,0.4628644823247473,0.35472108231386923,True
0.5,6,0.42966326713365455,0.45733334114372753,0.3740170667383623,True
0.5,7,0.43818165115959856,0.46064352123947855,0.3640457456566822,True
0.5,8,0.41399371195182705,0.44941618573198694,0.35258913578252454,True
0.5,9,0.4293580819300297,0.4668890620195757,0.3502434572278853,True
0.25,0,0.38923990584215273,0.4479076216666226,0.28566737346108534,True
0.25,1,0.39559676521286463,0.46027853665844515,0.3333408756782482,True
0.25,2,0.3774217502785477,0.4414917526882001,0.30758332838191194,True
0.25,3,0.36999468473466557,0.4497139752241816,0.29863774967351614,True
0.25,4,0.39044698769451563,0.43766190815240147,0.31529730036474646,True
0.25,5,0.3960004317993985,0.45918803667851094,0.2959152471793871,True
0.25,6,0.4048071740224703,0.4703543517239521,0.31063384429951063,True
0.25,7,0.3652280229978655,0.44655590919307997,0.30385069013905486,True
0.25,8,0.3784630271005832,0.4415529991296063,0.28502783095664214,True
0.25,9,0.37026665587254454,0.44613336364497014,0.27958610112701676,True
0.1,0,0.3083412102147036,0.4112509864811198,0.22871810460488545,True
0.1,1,0.33563892941843854,0.43344781463952,0.21878178761858846,True
0.1,2,0.3063985015411581,0.4418988908968219,0.21163999476983414,True
0.1,3,0.30896932305600033,0.4403256276950886,0.20125109435898136,True
0.1,4,0.33809397190267043,0.4381508778010373,0.23299647330444168,True
0.1,5,0.29843494706629725,0.4286601970733249,0.18918040382786025,True
0.1,6,0.32332226833041255,0.4360144683919497,0.24682324419087204,True
0.1,7,0.303599770418273,0.42619216493351997,0.20336291216111632,True
0.1,8,0.314156207134002,0.439293172325346,0.19823698758052438,True
0.1,9,0.3278161093295268,0.438064983041958,0.24983742209937915,True
