seed,section,modality,metric,value,crime_cat,group
7,sv_available,estatico,mean_weight,0.5733263492584229,,sv_available_1
7,sv_available,estatico,mean_weight,0.6217637658119202,,sv_available_0
7,sv_available,estatico,delta_weight,-0.048437416553497314,,sv1_menos_sv0
7,sv_available,temporal,mean_weight,0.12522637844085693,,sv_available_1
7,sv_available,temporal,mean_weight,0.18809734284877777,,sv_available_0
7,sv_available,temporal,delta_weight,-0.06287096440792084,,sv1_menos_sv0
123,modal_mean,SV,received_weight,0.24482710659503937,,
123,modal_mean,estatico,received_weight,0.5190373659133911,,
123,modal_mean,temporal,received_weight,0.2361355870962143,,
123,oracle_corr,SV,spearman_weight_vs_obs_2019_2022,-0.12237345796331885,robo_hurto_callejero,
123,oracle_corr,estatico,spearman_weight_vs_obs_2019_2022,0.6228310933601325,robo_hurto_callejero,
123,oracle_corr,temporal,spearman_weight_vs_obs_2019_2022,-0.5409623400825234,robo_hurto_callejero,
123,oracle_corr,SV,spearman_weight_vs_obs_2019_2022,-0.14776206088514174,extorsion,
123,oracle_corr,estatico,spearman_weight_vs_obs_2019_2022,0.4193411410497974,extorsion,
123,oracle_corr,temporal,spearman_weight_vs_obs_2019_2022,-0.3224039551961533,extorsion,
123,oracle_corr,SV,spearman_weight_vs_obs_2019_2022,-0.1749977435849559,estafa,
123,oracle_corr,estatico,spearman_weight_vs_obs_2019_2022,0.5051451644967234,estafa,
123,oracle_corr,temporal,spearman_weight_vs_obs_2019_2022,-0.3932009265868106,estafa,
123,oracle_corr,SV,spearman_weight_vs_obs_2019_2022,-0.09910195975914793,violencia_familiar_sexual,
123,oracle_corr,estatico,spearman_weight_vs_obs_2019_2022,0.6361202252949418,violencia_familiar_sexual,
123,oracle_corr,temporal,spearman_weight_vs_obs_2019_2022,-0.5689314043412146,violencia_familiar_sexual,
123,oracle_corr,SV,spearman_weight_vs_obs_2019_2022,-0.11784454904378247,secuestro,
123,oracle_corr,estatico,spearman_weight_vs_obs_2019_2022,0.2981421285969581,secuestro,
123,oracle_corr,temporal,spearman_weight_vs_obs_2019_2022,-0.2149385617364708,secuestro,
123,secuestro_district,SV,mean_weight,0.23471322655677795,,alto_secuestro
123,secuestro_district,SV,mean_weight,0.2495497465133667,,bajo_secuestro
123,secuestro_district,SV,delta_weight,-0.014836519956588745,,alto_menos_bajo
123,secuestro_district,estatico,mean_weight,0.5623101592063904,,alto_secuestro
123,secuestro_district,estatico,mean_weight,0.498831182718277,,bajo_secuestro
123,secuestro_district,estatico,delta_weight,0.0634789764881134,,alto_menos_bajo
123,secuestro_district,temporal,mean_weight,0.20297664403915405,,alto_secuestro
123,secuestro_district,temporal,mean_weight,0.2516190707683563,,bajo_secuestro
123,secuestro_district,temporal,delta_weight,-0.04864242672920227,,alto_menos_bajo
123,sv_available,SV,mean_weight,0.23003555834293365,,sv_available_1
123,sv_available,SV,mean_weight,0.24810592830181122,,sv_available_0
123,sv_available,SV,delta_weight,-0.018070369958877563,,sv1_menos_sv0
123,sv_available,estatico,mean_weight,0.5890434980392456,,sv_available_1
123,sv_available,estatico,mean_weight,0.5035191178321838,,sv_available_0
123,sv_available,estatico,delta_weight,0.08552438020706177,,sv1_menos_sv0
123,sv_available,temporal,mean_weight,0.18092094361782074,,sv_available_1
123,sv_available,temporal,mean_weight,0.24837493896484375,,sv_available_0
123,sv_available,temporal,delta_weight,-0.06745399534702301,,sv1_menos_sv0
