year,predictor,crime_cat,n_cells,oracle_sum,pred_sum,spearman_global,recall10,ndcg,nmae,intra_spearman,intra_recall10,intra_pai,intra_n_districts
2018,observado,robo_hurto_callejero,2835,68499.0,183654.421875,0.8383033076091253,0.478211360749792,0.832296567948615,1.8296492893328633,0.4251416228286379,0.252611449049591,2.5261144904959103,38
2018,observado,extorsion,2518,245.0,575.7802124023438,0.3749402604025275,0.5183673469387755,0.6865400543521555,2.1921783250511258,0.16529337759511503,0.2504993993644889,2.5049939936448884,34
2018,observado,estafa,2617,2205.0,4992.21142578125,0.6761336392551165,0.6489795918367347,0.7937591077813555,1.5331130351439115,0.29680728922026367,0.23663017832804206,2.36630178328042,35
2018,observado,violencia_familiar_sexual,2791,41018.0,113208.6875,0.8252815657826329,0.4248134965137257,0.8362567212067401,1.9060323412466416,0.39245551599241874,0.24371962379405013,2.4371962379405008,38
2018,observado,secuestro,2075,288.0,394.3467712402344,0.3872282886742574,0.5034722222222222,0.6291067906562776,1.5681456591722862,0.11514753316111419,0.2072420669681426,2.0724206696814256,31
2018,latente,robo_hurto_callejero,2835,68499.0,1000311.4375,0.8370511679543625,0.4933794653936554,0.8313397961383215,13.61906248678892,0.4251416228286379,0.252611449049591,2.5261144904959103,38
2018,latente,extorsion,2518,245.0,4046.064453125,0.3653624096758747,0.46122448979591835,0.675735498856927,15.705707329455098,0.16529337759511503,0.2504993993644889,2.5049939936448884,34
2018,latente,estafa,2617,2205.0,364479.3125,0.6731687958051266,0.6557823129251701,0.7907512691954092,164.30398739641723,0.29680728922026367,0.23663017832804206,2.36630178328042,35
2018,latente,violencia_familiar_sexual,2791,41018.0,1254553.625,0.824714267367623,0.42147349943927054,0.8348932106118085,29.600434074713,0.39245551599241874,0.24371962379405013,2.4371962379405008,38
2018,latente,secuestro,2075,288.0,3327.7998046875,0.3648955358801958,0.3958333333333333,0.6180387689940322,10.842173606931283,0.11514753316111419,0.2072420669681426,2.0724206696814256,31
