model,split,fold,crime_cat,n_cells,spearman_global,kendall_global,recall5,recall10,ndcg,pai10,pei10,nmae,smape,log_rmse,intra_spearman,intra_recall10,intra_ndcg,intra_pai,intra_n_districts,macro_intra_spearman,min_intra_spearman,macro_intra_recall10,min_intra_recall10,macro_intra_ndcg,min_intra_ndcg,macro_intra_pai,min_intra_pai
M1_demografia,temporal_expanding,2020,robo_hurto_callejero,51160.0,0.5675921693694306,0.4706302234968173,0.466810598626104,0.7565063788027477,0.8612437463801741,7.565063788027477,0.8407643312101911,22.248899821972152,1.9465950002987722,1.495525452538648,0.3181365744472537,0.2634291536178121,0.6843082366443332,2.6342915361781216,44.0,,,,,,,,
M1_demografia,temporal_expanding,2020,extorsion,50065.0,0.07366127185673266,0.062215917907788014,0.4551282051282051,0.5512820512820513,0.4598652950768448,5.512820512820513,0.5512820512820513,32.646169564413626,1.996651315217471,0.18579003903099428,0.015388507494932278,0.1725562631812632,0.26705896413419794,1.7255626318126318,32.0,,,,,,,,
M1_demografia,temporal_expanding,2020,estafa,50139.0,0.2696615532747153,0.22733455900287042,0.5479582146248813,0.8005698005698005,0.7639204838181108,8.005698005698004,0.8005698005698004,160.15684878334287,1.9912052517688381,1.4797766179343212,0.12014945560948623,0.24130631859080728,0.5006825548751542,2.413063185908073,42.0,,,,,,,,
M1_demografia,temporal_expanding,2020,violencia_familiar_sexual,51306.0,0.605607628482871,0.4990436717848713,0.39562452623599764,0.6944748589236082,0.8796368905712255,6.944748589236081,0.798035277892037,19.357298049998008,1.9412177426386767,1.83520239804678,0.29397027766108835,0.2153251296245422,0.6908426464524017,2.153251296245422,44.0,,,,,,,,
M1_demografia,temporal_expanding,2020,secuestro,50065.0,0.0675562228123416,0.056890222860565824,0.4161849710982659,0.5491329479768786,0.3749980003241362,5.491329479768786,0.5491329479768786,19.269690621931407,1.997510602791225,0.13790228148161907,0.006357065093764878,0.10333081950729009,0.22304682055531644,1.0333081950729008,34.0,,,,,,,,
M1_demografia,temporal_expanding,2020,__macro__,,,,,,,,,,,,,,,,,0.15080037606130509,0.006357065093764878,0.199189536904343,0.10333081950729009,0.47318784453228063,0.22304682055531644,1.99189536904343,1.0333081950729008
M2_osm,temporal_expanding,2020,robo_hurto_callejero,51160.0,0.5668006497895384,0.4669415399749821,0.517369970559372,0.7884985279685967,0.8776925317721895,7.884985279685966,0.8763196928714773,24.052336419525965,1.9472392164079606,1.4923737106697836,0.3620305497039065,0.2875167020173444,0.7068879844603985,2.8751670201734445,44.0,,,,,,,,
M2_osm,temporal_expanding,2020,extorsion,50065.0,0.07552614337661874,0.06312262682733659,0.391025641025641,0.5512820512820513,0.4644241737632692,5.512820512820513,0.5512820512820513,32.60794715255208,1.9960311657654852,0.18540741719825418,0.03932225356726032,0.215747446997447,0.2804452774267948,2.15747446997447,32.0,,,,,,,,
M2_osm,temporal_expanding,2020,estafa,50139.0,0.2686130834158551,0.22381247499676288,0.5930674264007597,0.8072174738841406,0.7874852632753422,8.072174738841404,0.8072174738841404,161.49235218344475,1.992957516297257,1.4786323017298992,0.14922621975207948,0.26025659230497017,0.5267043098902858,2.6025659230497014,42.0,,,,,,,,
M2_osm,temporal_expanding,2020,violencia_familiar_sexual,51306.0,0.6106490838119059,0.5014646062670297,0.4756380021898425,0.7415775288469637,0.9022926252056692,7.415775288469637,0.8521619202013114,20.68698526283263,1.9458856073333675,1.8282284940327727,0.4052053922596836,0.28671354579697544,0.7499379711306555,2.867135457969755,44.0,,,,,,,,
