ubigeo,categoria,anio,observado,r_hat,r_ic_low,r_ic_high,r_scope,latente,latente_ic_low,latente_ic_high,factor_subrep,latente_rate_100k,inestable
150137,robo_hurto_callejero,2018,2986,0.2037,0.1565,0.2555,panel,14658.8,11686.9,19079.9,4.9,6830.0,0
150137,robo_hurto_callejero,2019,2966,0.2037,0.1565,0.2555,panel,14560.6,11608.6,18952.1,4.9,6663.5,0
150137,robo_hurto_callejero,2020,984,0.2037,0.1565,0.2555,panel,4830.6,3851.3,6287.5,4.9,2178.2,0
150137,robo_hurto_callejero,2021,1476,0.2037,0.1565,0.2555,panel,7245.9,5776.9,9431.3,4.9,3222.0,0
150137,robo_hurto_callejero,2022,1711,0.2037,0.1565,0.2555,panel,8399.6,6696.7,10932.9,4.9,3691.6,0
150137,robo_hurto_callejero,2023,3155,0.2037,0.1565,0.2555,panel,15488.5,12348.3,20159.7,4.9,6739.7,0
150137,robo_hurto_callejero,2024,3033,0.2037,0.1565,0.2555,panel,14889.5,11870.8,19380.2,4.9,6421.4,0
150137,secuestro,2018,10,0.1774,0.0,0.8035,panel,56.4,12.4,,5.6,26.3,0
150137,secuestro,2019,5,0.1774,0.0,0.8035,panel,28.2,6.2,,5.6,12.9,0
150137,secuestro,2020,2,0.1774,0.0,0.8035,panel,11.3,2.5,,5.6,5.1,0
150137,secuestro,2021,4,0.1774,0.0,0.8035,panel,22.5,5.0,,5.6,10.0,0
150137,secuestro,2022,9,0.1774,0.0,0.8035,panel,50.7,11.2,,5.6,22.3,0
150137,secuestro,2023,12,0.1774,0.0,0.8035,panel,67.6,14.9,,5.6,29.4,0
150137,secuestro,2024,9,0.1774,0.0,0.8035,panel,50.7,11.2,,5.6,21.9,0
150137,violencia_familiar_sexual,2018,2238,0.0997,0.0528,0.1593,panel,22447.3,14049.0,42386.4,10.0,10458.9,0
150137,violencia_familiar_sexual,2019,2745,0.0997,0.0528,0.1593,panel,27532.6,17231.6,51988.6,10.0,12599.9,0
150137,violencia_familiar_sexual,2020,1633,0.0997,0.0528,0.1593,panel,16379.1,10251.1,30928.0,10.0,7385.4,0
150137,violencia_familiar_sexual,2021,1752,0.0997,0.0528,0.1593,panel,17572.7,10998.1,33181.8,10.0,7813.8,0
150137,violencia_familiar_sexual,2022,1435,0.0997,0.0528,0.1593,panel,14393.2,9008.2,27178.0,10.0,6325.8,0
150137,violencia_familiar_sexual,2023,1665,0.0997,0.0528,0.1593,panel,16700.1,10452.0,31534.1,10.0,7266.9,0
150137,violencia_familiar_sexual,2024,1468,0.0997,0.0528,0.1593,panel,14724.2,9215.3,27803.0,10.0,6350.0,0
150138,estafa,2020,5,0.0139,0.0009,0.0441,panel,359.7,113.4,5555.6,71.9,31498.4,1
150138,estafa,2021,4,0.0139,0.0009,0.0441,panel,287.8,90.7,4444.4,71.9,24387.3,1
150138,estafa,2022,6,0.0139,0.0009,0.0441,panel,431.7,136.1,6666.7,71.9,35497.9,1
150138,estafa,2023,2,0.0139,0.0009,0.0441,panel,143.9,45.4,2222.2,71.9,11529.2,1
150138,estafa,2024,3,0.0139,0.0009,0.0441,panel,215.8,68.0,3333.3,71.9,16809.0,1
150138,extorsion,2023,3,0.1833,0.0042,0.5811,panel,16.4,5.2,714.3,5.5,1311.4,0
150138,extorsion,2024,4,0.1833,0.0042,0.5811,panel,21.8,6.9,952.4,5.5,1699.5,0
150138,robo_hurto_callejero,2018,8,0.224,0.1482,0.3102,panel,35.7,25.8,54.0,4.5,3347.2,0
150138,robo_hurto_callejero,2019,16,0.224,0.1482,0.3102,panel,71.4,51.6,108.0,4.5,6458.3,0
150138,robo_hurto_callejero,2020,13,0.224,0.1482,0.3102,panel,58.0,41.9,87.7,4.5,5081.9,0
150138,robo_hurto_callejero,2021,13,0.224,0.1482,0.3102,panel,58.0,41.9,87.7,4.5,4918.3,0
150138,robo_hurto_callejero,2022,6,0.224,0.1482,0.3102,panel,26.8,19.3,40.5,4.5,2202.8,0
150138,robo_hurto_callejero,2023,28,0.224,0.1482,0.3102,panel,125.0,90.3,188.9,4.5,10016.0,0
150138,robo_hurto_callejero,2024,10,0.224,0.1482,0.3102,panel,44.6,32.2,67.5,4.5,3476.9,0
150138,violencia_familiar_sexual,2018,15,0.0919,0.0437,0.1554,panel,163.2,96.5,343.2,10.9,15297.2,0
150138,violencia_familiar_sexual,2019,11,0.0919,0.0437,0.1554,panel,119.7,70.8,251.7,10.9,10822.4,0
150138,violencia_familiar_sexual,2020,12,0.0919,0.0437,0.1554,panel,130.6,77.2,274.6,10.9,11434.0,0
150138,violencia_familiar_sexual,2021,9,0.0919,0.0437,0.1554,panel,97.9,57.9,205.9,10.9,8299.4,0
150138,violencia_familiar_sexual,2022,10,0.0919,0.0437,0.1554,panel,108.8,64.4,228.8,10.9,8948.5,0
150138,violencia_familiar_sexual,2023,31,0.0919,0.0437,0.1554,panel,337.3,199.5,709.4,10.9,27029.1,0
150138,violencia_familiar_sexual,2024,16,0.0919,0.0437,0.1554,panel,174.1,103.0,366.1,10.9,13559.4,0
150139,estafa,2018,5,0.0136,0.0008,0.0432,panel,367.6,115.7,6250.0,73.5,1185.2,1
